Date,StartTime_ET,AwayTeam,AwayABV,AwayPTS,HomeTeam,HomeABV,HomePTS,Arena,AwayB2B,HomeB2B,cup_gm,pstszn_gm,rtrvd
2022-10-18,7:30p,Philadelphia 76ers,PHI,117,Boston Celtics,BOS,126,TD Garden,0,0,0,0,1
2022-10-18,10:00p,Los Angeles Lakers,LAL,109,Golden State Warriors,GSW,123,Chase Center,0,0,0,0,1
2022-10-19,7:00p,Orlando Magic,ORL,109,Detroit Pistons,DET,113,Little Caesars Arena,0,0,0,0,1
2022-10-19,7:00p,Washington Wizards,WAS,114,Indiana Pacers,IND,107,Gainbridge Fieldhouse,0,0,0,0,1
2022-10-19,7:30p,Houston Rockets,HOU,107,Atlanta Hawks,ATL,117,State Farm Arena,0,0,0,0,1
2022-10-19,7:30p,New Orleans Pelicans,NOP,130,Brooklyn Nets,BRK,108,Barclays Center,0,0,0,0,1
2022-10-19,7:30p,New York Knicks,NYK,112,Memphis Grizzlies,MEM,115,FedEx Forum,0,0,0,0,1
2022-10-19,7:30p,Chicago Bulls,CHI,116,Miami Heat,MIA,108,Kaseya Center,0,0,0,0,1
2022-10-19,7:30p,Cleveland Cavaliers,CLE,105,Toronto Raptors,TOR,108,Scotiabank Arena,0,0,0,0,1
2022-10-19,8:00p,Oklahoma City Thunder,OKC,108,Minnesota Timberwolves,MIN,115,Target Center,0,0,0,0,1
2022-10-19,8:00p,Charlotte Hornets,CHO,129,San Antonio Spurs,SAS,102,AT&T Center,0,0,0,0,1
2022-10-19,9:00p,Denver Nuggets,DEN,102,Utah Jazz,UTA,123,Vivint Arena,0,0,0,0,1
2022-10-19,10:00p,Dallas Mavericks,DAL,105,Phoenix Suns,PHO,107,Footprint Center,0,0,0,0,1
2022-10-19,10:00p,Portland Trail Blazers,POR,115,Sacramento Kings,SAC,108,Golden 1 Center,0,0,0,0,1
2022-10-20,7:30p,Milwaukee Bucks,MIL,90,Philadelphia 76ers,PHI,88,Wells Fargo Center,0,0,0,0,1
