Date,Team,Player,Status,Reason
10/18/2022,BOS,Robert Williams III,Out,Injury/Illness - Left Knee; Surgery
10/18/2022,GSW,Andre Iguodala,Out,Injury/Illness - Left Hip; Injury Management
10/18/2022,LAL,Russell Westbrook,Probable,Injury/Illness - Left Hamstring; Soreness
10/18/2022,BOS,Danilo Gallinari,Out,Injury/Illness - Left Knee; ACL Repair
10/18/2022,GSW,Patrick Baldwin Jr.,Questionable,Injury/Illness - Right Thumb; Sprain
10/18/2022,LAL,Dennis Schroder,Out,Injury/Illness - Right UCL; Repair
10/18/2022,LAL,LeBron James,Probable,Injury/Illness - Left Foot; Soreness
10/18/2022,LAL,Anthony Davis,Probable,Injury/Illness - Low Back; Soreness
10/18/2022,LAL,Thomas Bryant,Out,Injury/Illness - Left UCL; Repair
10/18/2022,LAL,Troy Brown Jr.,Out,Injury/Illness - Low Back; Soreness
10/19/2022,ATL,Bogdan Bogdanovic,Out,Injury/Illness - Right Knee; Injury Recovery
10/19/2022,BRK,T.J. Warren,Out,Injury/Illness - Left Foot; Injury Recovery
10/19/2022,CHO,LaMelo Ball,Out,Injury/Illness - Left Ankle; Sprain
10/19/2022,CHI,Zach LaVine,Out,Injury/Illness - Left Knee; Injury Management
10/19/2022,CLE,Dylan Windler,Out,Injury/Illness - Right Ankle; Sprain
10/19/2022,DAL,Frank Ntilikina,Out,Injury/Illness - Right Ankle; Effusion
10/19/2022,DEN,Collin Gillespie,Out,Injury/Illness - Right Lower Leg; Fracture
10/19/2022,DET,Isaiah Livers,Out,Injury/Illness - Right Hip; Soreness
10/19/2022,HOU,TyTy Washington Jr.,Out,Injury/Illness - Left Knee; Sprain
10/19/2022,IND,Myles Turner,Out,Injury/Illness - Left Ankle; Sprain
10/19/2022,MEM,Ziaire Williams,Out,Injury/Illness - Right Knee; Soreness
10/19/2022,MIA,Omer Yurtseven,Out,Injury/Illness - Left Ankle; Impingement
10/19/2022,MIN,Eric Paschall,Out,Injury/Illness - Left Ankle/Achilles; Tendinosis
10/19/2022,NOP,E.J. Liddell,Out,Injury/Illness - Right Knee; ACL Injury Recovery
10/19/2022,NYK,Quentin Grimes,Out,Injury/Illness - Left Foot; Sore
10/19/2022,OKC,Chet Holmgren,Out,Injury/Illness - Right Foot; Surgery
10/19/2022,ORL,Moritz Wagner,Out,Injury/Illness - Right Midfoot; Sprain
10/19/2022,PHO,Landry Shamet,Out,Injury/Illness - Left Hip; Strain
10/19/2022,POR,Trendon Watford,Out,Injury/Illness - Right Hip; Flexor Strain
10/19/2022,SAC,Keegan Murray,Out,Health and Safety Protocols
10/19/2022,TOR,Otto Porter Jr.,Out,Injury/Illness - Left Hamstring; Strain
10/19/2022,UTA,Udoka Azubuike,Out,Injury/Illness - Right Ankle; Surgery
10/19/2022,WAS,Corey Kispert,Out,Injury/Illness - Left Ankle; Left ankle sprain
10/19/2022,BRK,Joe Harris,Out,Injury/Illness - Left Foot; Soreness
10/19/2022,CHI,Lonzo Ball,Out,Injury/Illness - Left Knee; Surgery
10/19/2022,CLE,Ricky Rubio,Out,Injury/Illness - Left Knee; ACL Surgery
10/19/2022,DAL,Maxi Kleber,Probable,Injury/Illness - Illness; Non-COVID
10/19/2022,DET,Alec Burks,Out,Injury/Illness - Left Navicular; Fracture
10/19/2022,HOU,Jae'Sean Tate,Out,Injury/Illness - Left Ankle; Soreness
10/19/2022,IND,Daniel Theis,Out,Injury/Illness - Left Knee; Soreness
10/19/2022,MEM,Jaren Jackson Jr.,Out,Injury/Illness - Right Foot; Surgery Recovery
10/19/2022,MIA,Victor Oladipo,Out,Injury/Illness - Left Knee; Tendinosis
10/19/2022,NOP,Kira Lewis Jr.,Out,Injury/Illness - Right Knee; ACL Injury Recovery
10/19/2022,ORL,Jonathan Isaac,Out,Injury/Illness - Left Knee; Injury recovery
10/19/2022,PHO,Jae Crowder,Out,Not With Team
10/19/2022,POR,Olivier Sarr,Out,Injury/Illness - Right Wrist; Sprain
10/19/2022,SAC,Kevin Huerter,Questionable,Injury/Illness - Left Ankle; Soreness
10/19/2022,TOR,Chris Boucher,Out,Injury/Illness - Left Hamstring; Strain
10/19/2022,WAS,Vernon Carey Jr.,Out,Injury/Illness - Head; Concussion Protocol
10/19/2022,BRK,Seth Curry,Out,Injury/Illness - Left Ankle; Injury Recovery
10/19/2022,CHI,Kostas Antetokounmpo,Out,G League - Two-Way
10/19/2022,CLE,Mamadi Diakite,Out,Not With Team
10/19/2022,DAL,Tyler Dorsey,Out,G League - Two-Way
