game_id,Date,Team,Player,Pos,MP,Opp,Off_PTS,AVG_PTS_H2H,Def_PTS,Off_AST,AVG_AST_H2H,Def_AST,Off_REB,AVG_REB_H2H,Def_REB,Off_PR,AVG_PR_H2H,Def_PR,Off_PA,AVG_PA_H2H,Def_PA,Off_RA,AVG_RA_H2H,Def_RA,Off_PRA,AVG_PRA_H2H,Def_PRA,PTS,PTS_line,PTS_Diff,PTS_Result,AST,AST_line,AST_Diff,AST_Result,REB,REB_line,REB_Diff,REB_Result,PR,PR_line,PR_Diff,PR_Result,PA,PA_line,PA_Diff,PA_Result,RA,RA_line,RA_Diff,RA_Result,PRA,PRA_line,PRA_Diff,PRA_Result,B2B
20251118_UTA_LAL,11/18/2025,LAL,Deandre Ayton,C,30.0,UTA,16.5,11.25,17.46153846153846,1.8571428571428568,0.75,1.9230769230769231,9.461538461538462,7.5,10.692307692307692,25.285714285714285,18.75,28.15384615384616,17.428571428571427,12.0,19.384615384615383,10.461538461538462,8.25,12.615384615384617,26.214285714285715,19.5,30.07692307692308,20,14.5,5.5,O,1,0.5,0.5,O,14,8.5,5.5,O,34,23.5,10.5,O,21,14.5,6.5,O,15,10.5,4.5,O,35,24.5,10.5,O,0.0
20251118_UTA_LAL,11/18/2025,UTA,Jusuf Nurkic,C,28.87,LAL,7.6,7.6,10.363636363636363,4.066666666666666,4.3,3.0,9.6,10.1,7.818181818181818,17.2,17.7,18.181818181818183,11.666666666666666,11.9,13.363636363636363,13.666666666666666,14.4,10.818181818181818,21.266666666666666,22.0,21.181818181818183,10,9.5,0.5,O,6,3.5,2.5,O,10,9.5,0.5,O,20,18.5,1.5,O,16,13.5,2.5,O,16,12.5,3.5,O,26,22.5,3.5,O,0.0
20251118_GSW_ORL,11/18/2025,ORL,Goga Bitadze,C,13.9,GSW,6.357142857142857,6.4,19.2,1.9,1.2,4.2,4.866666666666666,5.6,10.3,10.8,12.0,29.5,7.2,7.6,23.4,6.133333333333334,6.8,14.5,12.066666666666666,13.2,33.7,6,4.5,1.5,O,3,1.5,1.5,O,2,4.5,-2.5,U,8,,,,9,6.5,2.5,O,5,,,,11,11.5,-0.5,U,0.0
20251118_BOS_BRK,11/18/2025,BRK,Day'Ron Sharpe,C,17.9,BOS,7.153846153846154,9.0,17.5,2.5,1.8571428571428568,2.6,5.384615384615385,6.714285714285714,10.5,12.538461538461538,15.714285714285714,28.0,9.076923076923077,10.857142857142858,20.1,7.3076923076923075,8.571428571428571,13.1,14.461538461538462,17.571428571428573,30.6,16,5.5,10.5,O,2,1.5,0.5,O,7,5.5,1.5,O,23,10.5,12.5,O,18,7.5,10.5,O,9,7.5,1.5,O,25,,,,0.0
20251118_GSW_ORL,11/18/2025,GSW,Al Horford,C,27.17,ORL,7.0,6.9,13.23076923076923,2.111111111111111,2.3,2.230769230769231,4.090909090909091,6.2,9.0,9.818181818181818,13.1,22.23076923076923,8.2,9.2,15.461538461538462,5.818181818181818,8.5,11.23076923076923,11.545454545454543,15.4,24.46153846153846,9,5.5,3.5,O,1,1.5,-0.5,U,6,4.5,1.5,O,15,9.5,5.5,O,10,,,,7,5.5,1.5,O,16,,,,0.0
20251118_DET_ATL,11/18/2025,DET,Jalen Duren,C,28.9,ATL,20.615384615384617,13.333333333333334,13.090909090909092,2.1818181818181817,2.1666666666666665,3.4545454545454546,11.923076923076923,6.333333333333333,9.636363636363637,32.53846153846154,19.666666666666668,22.727272727272727,22.46153846153846,15.5,16.545454545454547,13.76923076923077,8.5,13.090909090909092,34.38461538461539,21.83333333333333,26.181818181818183,24,19.5,4.5,O,3,2.5,0.5,O,8,11.5,-3.5,U,32,32.5,-0.5,U,27,22.5,4.5,O,11,,,,35,34.5,0.5,O,1.0
20251118_MEM_SAS,11/18/2025,MEM,Zach Edey,C,25.08,SAS,10.5,10.2,19.857142857142858,2.0,0.8,3.7142857142857135,9.0,8.6,8.857142857142858,19.5,18.8,28.714285714285715,11.5,11.0,23.571428571428573,10.0,9.4,12.571428571428571,20.5,19.6,32.42857142857143,8,9.5,-1.5,U,2,1.5,0.5,O,11,8.5,2.5,O,19,18.5,0.5,O,10,12.5,-2.5,U,13,,,,21,19.5,1.5,O,0.0
20251118_BOS_BRK,11/18/2025,BOS,Luka Garza,C,20.38,BRK,8.333333333333334,1.6,19.77777777777778,1.375,0.0,2.6666666666666665,4.538461538461538,1.4,10.11111111111111,11.357142857142858,3.0,29.88888888888889,9.25,1.6,22.444444444444443,5.384615384615385,1.4,12.77777777777778,12.142857142857142,3.0,32.55555555555556,5,7.5,-2.5,U,0,0.5,-0.5,U,5,5.5,-0.5,U,10,12.5,-2.5,U,5,9.5,-4.5,U,5,6.5,-1.5,U,10,14.5,-4.5,U,0.0
20251118_PHO_POR,11/18/2025,PHO,Mark Williams,C,21.27,POR,11.692307692307692,,19.545454545454547,1.7142857142857142,,3.909090909090909,8.153846153846153,,9.181818181818182,19.846153846153847,,28.727272727272727,12.615384615384617,,23.454545454545453,9.076923076923077,,13.090909090909092,20.76923076923077,,32.63636363636363,15,12.5,2.5,O,1,1.5,-0.5,U,6,8.5,-2.5,U,21,21.5,-0.5,U,16,13.5,2.5,O,7,,,,22,22.5,-0.5,U,0.0
20251118_PHO_POR,11/18/2025,POR,Robert Williams,C,8.1,PHO,5.285714285714286,2.4,17.625,1.2,0.2,4.5,3.6666666666666665,1.0,10.375,7.777777777777778,3.4,28.0,5.375,2.6,22.125,4.333333333333333,1.2,14.875,8.444444444444445,3.6,32.5,4,4.5,-0.5,U,0,0.5,-0.5,U,2,4.5,-2.5,U,6,,,,4,5.5,-1.5,U,2,6.5,-4.5,U,6,11.5,-5.5,U,0.0
20251118_PHO_POR,11/18/2025,POR,Donovan Clingan,C,23.45,PHO,8.857142857142858,5.6,17.625,2.125,1.0,4.5,9.214285714285714,6.8,10.375,18.071428571428573,12.4,28.0,10.071428571428571,6.6,22.125,10.428571428571429,7.8,14.875,19.285714285714285,13.4,32.5,9,9.5,-0.5,U,2,0.5,1.5,O,12,9.5,2.5,O,21,19.5,1.5,O,11,10.5,0.5,O,14,10.5,3.5,O,23,20.5,2.5,O,0.0
20251118_BOS_BRK,11/18/2025,BOS,Neemias Queta,C,22.85,BRK,9.066666666666666,5.0,19.77777777777778,2.1666666666666665,0.7142857142857143,2.6666666666666665,8.066666666666666,3.571428571428572,10.11111111111111,17.133333333333333,8.571428571428571,29.88888888888889,10.8,5.714285714285714,22.444444444444443,9.8,4.285714285714286,12.77777777777778,18.866666666666667,9.285714285714286,32.55555555555556,6,9.5,-3.5,U,2,1.5,0.5,O,7,8.5,-1.5,U,13,18.5,-5.5,U,8,11.5,-3.5,U,9,10.5,-1.5,U,15,20.5,-5.5,U,0.0
20251118_MEM_SAS,11/18/2025,SAS,Luke Kornet,C,25.08,MEM,10.166666666666666,1.0,20.428571428571427,2.333333333333333,0.8,3.571428571428572,7.166666666666667,3.0,11.714285714285714,14.857142857142858,4.0,32.142857142857146,10.714285714285714,1.8,24.0,8.142857142857142,3.8,15.285714285714286,16.857142857142858,4.8,35.714285714285715,0,10.5,-10.5,U,3,2.5,0.5,O,4,7.5,-3.5,U,4,18.5,-14.5,U,3,13.5,-10.5,U,7,10.5,-3.5,U,7,21.5,-14.5,U,0.0
20251118_PHO_POR,11/18/2025,PHO,Nick Richards,C,10.65,POR,4.714285714285714,8.0,19.545454545454547,1.25,0.5,3.909090909090909,3.923076923076923,7.25,9.181818181818182,7.8,15.25,28.727272727272727,5.071428571428571,8.5,23.454545454545453,4.0,7.75,13.090909090909092,8.133333333333333,15.75,32.63636363636363,8,4.5,3.5,O,0,,,,2,4.5,-2.5,U,10,9.5,0.5,O,8,,,,2,,,,10,,,,0.0
20251118_GSW_ORL,11/18/2025,ORL,Wendell Carter Jr.,C,35.12,GSW,12.733333333333333,9.0,19.2,1.9285714285714288,2.8,4.2,7.666666666666667,8.6,10.3,20.4,17.6,29.5,14.533333333333331,11.8,23.4,9.466666666666669,11.4,14.5,22.2,20.4,33.7,17,,,,2,1.5,0.5,O,12,8.5,3.5,O,29,20.5,8.5,O,19,13.5,5.5,O,14,10.5,3.5,O,31,22.5,8.5,O,0.0
