game_id,Date,Team,B2B,Player,Pos,MP,Opp,Off_PTS,Off_L5_PTS,AVG_PTS_H2H,Def_PTS,Def_L5_PTS,PTS
20240206_DAL_BRK,02/06/2024,DAL,1,Luka Doncic,PG,43.02,BRK,34.46511627906977,33.4,40.25,17.46153846153846,23.6,35
20240206_MEM_NYK,02/06/2024,NYK,0,Jalen Brunson,PG,31.25,MEM,26.176470588235293,32.8,18.0,15.728571428571428,15.0,27
20240206_ORL_MIA,02/06/2024,ORL,0,Cole Anthony,PG,13.62,MIA,11.98,6.2,8.5,15.612903225806452,15.0,4
20240206_DAL_BRK,02/06/2024,BRK,1,Ben Simmons,PG,20.27,DAL,5.8,4.2,7.0,15.485714285714286,9.2,9
20240206_ORL_MIA,02/06/2024,ORL,0,Anthony Black,PG,3.12,MIA,4.666666666666667,4.4,2.75,15.612903225806452,15.0,0
20240206_MEM_NYK,02/06/2024,NYK,0,Miles McBride,PG,31.43,MEM,4.098039215686274,9.8,7.75,15.728571428571428,15.0,12
20240206_MEM_NYK,02/06/2024,NYK,0,Ryan Arcidiacono,PG,0.0,MEM,0.0,0.0,0.0,15.728571428571428,15.0,0
20240206_MIL_PHO,02/06/2024,PHO,0,Devin Booker,PG,37.65,MIL,27.928571428571427,22.8,,18.10144927536232,21.4,32
20240206_ORL_MIA,02/06/2024,MIA,0,Terry Rozier,PG,31.25,ORL,12.5,14.8,,18.1864406779661,18.6,18
20240206_OKC_UTA,02/06/2024,OKC,0,Shai Gilgeous-Alexander,PG,36.05,UTA,31.08,30.6,,15.876923076923076,25.6,28
20240206_HOU_IND,02/06/2024,IND,0,Tyrese Haliburton,PG,29.08,HOU,22.45,15.4,,15.393939393939394,12.0,18
20240206_MIN_CHI,02/06/2024,CHI,0,Coby White,PG,42.22,MIN,19.431372549019606,24.4,,15.433333333333334,20.6,33
20240206_HOU_IND,02/06/2024,HOU,0,Aaron Holiday,PG,20.18,IND,6.06,3.2,,17.074626865671643,18.4,8
20240206_MIL_PHO,02/06/2024,PHO,0,Jordan Goodwin,PG,0.25,MIL,3.882352941176471,1.6,,18.10144927536232,21.4,2
