Date,StartTime_ET,AwayTeam,AwayABV,AwayPTS,HomeTeam,HomeABV,HomePTS,is_OT,Arena,AwayB2B,HomeB2B,cup_gm,pstszn_gm,rtrvd
2023-11-13,7:30p,New York Knicks,NYK,98,Boston Celtics,BOS,114,0,TD Garden,1,0,0,0,0
2023-11-13,7:30p,Washington Wizards,WAS,107,Toronto Raptors,TOR,111,0,Scotiabank Arena,1,0,0,0,0
2023-11-13,8:00p,Chicago Bulls,CHI,109,Milwaukee Bucks,MIL,118,0,Fiserv Forum,1,0,0,0,0
2023-11-13,10:00p,Cleveland Cavaliers,CLE,120,Sacramento Kings,SAC,132,0,Golden 1 Center,0,0,0,0,0
2023-11-14,7:00p,Miami Heat,MIA,111,Charlotte Hornets,CHO,105,0,Spectrum Center,0,0,1,0,0
2023-11-14,7:00p,Atlanta Hawks,ATL,126,Detroit Pistons,DET,120,0,Little Caesars Arena,0,0,1,0,0
2023-11-14,7:00p,Indiana Pacers,IND,132,Philadelphia 76ers,PHI,126,0,Wells Fargo Center,0,0,1,0,0
2023-11-14,7:30p,Orlando Magic,ORL,104,Brooklyn Nets,BRK,124,0,Barclays Center,0,0,1,0,0
2023-11-14,7:30p,San Antonio Spurs,SAS,87,Oklahoma City Thunder,OKC,123,0,Paycom Center,0,0,1,0,0
2023-11-14,8:00p,Dallas Mavericks,DAL,110,New Orleans Pelicans,NOP,131,0,Smoothie King Center,0,0,1,0,0
2023-11-14,9:00p,Portland Trail Blazers,POR,99,Utah Jazz,UTA,115,0,Delta Center,0,0,1,0,0
2023-11-14,10:00p,Los Angeles Clippers,LAC,108,Denver Nuggets,DEN,111,0,Ball Arena,0,0,1,0,0
2023-11-14,10:00p,Minnesota Timberwolves,MIN,104,Golden State Warriors,GSW,101,0,Chase Center,0,0,1,0,0
2023-11-14,10:30p,Memphis Grizzlies,MEM,107,Los Angeles Lakers,LAL,134,0,Crypto.com Arena,0,0,1,0,0
2023-11-15,7:00p,Dallas Mavericks,DAL,130,Washington Wizards,WAS,117,0,Capital One Arena,1,0,0,0,0
2023-11-15,7:30p,New York Knicks,NYK,116,Atlanta Hawks,ATL,114,0,State Farm Arena,0,1,0,0,0
2023-11-15,7:30p,Boston Celtics,BOS,117,Philadelphia 76ers,PHI,107,0,Wells Fargo Center,0,1,0,0,0
2023-11-15,7:30p,Milwaukee Bucks,MIL,128,Toronto Raptors,TOR,112,0,Scotiabank Arena,0,0,0,0,0
2023-11-15,8:00p,Orlando Magic,ORL,96,Chicago Bulls,CHI,94,0,United Center,1,0,0,0,0
2023-11-15,9:00p,Minnesota Timberwolves,MIN,115,Phoenix Suns,PHO,133,0,Footprint Center,1,0,0,0,0
2023-11-15,10:00p,Sacramento Kings,SAC,125,Los Angeles Lakers,LAL,110,0,Crypto.com Arena,0,1,0,0,0
2023-11-15,10:00p,Cleveland Cavaliers,CLE,109,Portland Trail Blazers,POR,95,0,Moda Center,0,1,0,0,0
2023-11-16,7:30p,Brooklyn Nets,BRK,115,Miami Heat,MIA,122,0,Kaseya Center,0,0,0,0,0
2023-11-16,10:00p,Oklahoma City Thunder,OKC,128,Golden State Warriors,GSW,109,0,Chase Center,0,0,0,0,0
2023-11-17,7:00p,Milwaukee Bucks,MIL,130,Charlotte Hornets,CHO,99,0,Spectrum Center,0,0,1,0,0
2023-11-17,7:00p,New York Knicks,NYK,120,Washington Wizards,WAS,99,0,Capital One Arena,0,0,1,0,0
2023-11-17,7:30p,Philadelphia 76ers,PHI,126,Atlanta Hawks,ATL,116,0,State Farm Arena,0,0,1,0,0
2023-11-17,7:30p,Detroit Pistons,DET,100,Cleveland Cavaliers,CLE,108,0,Rocket Mortgage Fieldhouse,0,0,1,0,0
2023-11-17,7:30p,Sacramento Kings,SAC,129,San Antonio Spurs,SAS,120,0,Frost Bank Center,0,0,1,0,0
2023-11-17,7:30p,Boston Celtics,BOS,108,Toronto Raptors,TOR,105,0,Scotiabank Arena,0,0,1,0,0
2023-11-17,8:00p,Orlando Magic,ORL,103,Chicago Bulls,CHI,97,0,United Center,0,0,1,0,0
2023-11-17,8:00p,Denver Nuggets,DEN,110,New Orleans Pelicans,NOP,115,0,Smoothie King Center,0,0,1,0,0
2023-11-17,10:00p,Los Angeles Lakers,LAL,107,Portland Trail Blazers,POR,95,0,Moda Center,0,0,1,0,0
2023-11-17,10:00p,Phoenix Suns,PHO,131,Utah Jazz,UTA,128,0,Delta Center,0,0,1,0,0
2023-11-17,10:30p,Houston Rockets,HOU,100,Los Angeles Clippers,LAC,106,0,Crypto.com Arena,0,0,1,0,0
2023-11-18,6:00p,New York Knicks,NYK,122,Charlotte Hornets,CHO,108,0,Spectrum Center,1,1,0,0,0
2023-11-18,7:00p,Minnesota Timberwolves,MIN,121,New Orleans Pelicans,NOP,120,0,Smoothie King Center,0,1,0,0,0
2023-11-18,8:00p,Miami Heat,MIA,97,Chicago Bulls,CHI,102,0,United Center,0,1,0,0,0
2023-11-18,8:00p,Dallas Mavericks,DAL,125,Milwaukee Bucks,MIL,132,0,Fiserv Forum,0,1,0,0,0
2023-11-18,8:00p,Memphis Grizzlies,MEM,120,San Antonio Spurs,SAS,108,0,Frost Bank Center,0,1,0,0,0
2023-11-18,8:30p,Oklahoma City Thunder,OKC,130,Golden State Warriors,GSW,123,1,Chase Center,0,0,0,0,0
2023-11-19,3:00p,Philadelphia 76ers,PHI,121,Brooklyn Nets,BRK,99,0,Barclays Center,0,0,0,0,0
2023-11-19,4:00p,Detroit Pistons,DET,113,Toronto Raptors,TOR,142,0,Scotiabank Arena,0,0,0,0,0
2023-11-19,5:00p,Orlando Magic,ORL,128,Indiana Pacers,IND,116,0,Gainbridge Fieldhouse,0,0,0,0,0
2023-11-19,6:00p,Denver Nuggets,DEN,109,Cleveland Cavaliers,CLE,121,0,Rocket Mortgage Fieldhouse,0,0,0,0,0
2023-11-19,7:30p,Sacramento Kings,SAC,129,Dallas Mavericks,DAL,113,0,American Airlines Center,0,1,0,0,0
2023-11-19,8:00p,Boston Celtics,BOS,102,Memphis Grizzlies,MEM,100,0,FedEx Forum,0,1,0,0,0
2023-11-19,8:00p,Phoenix Suns,PHO,140,Utah Jazz,UTA,137,2,Delta Center,0,0,0,0,0
2023-11-19,9:00p,Oklahoma City Thunder,OKC,134,Portland Trail Blazers,POR,91,0,Moda Center,1,0,0,0,0
2023-11-19,9:30p,Houston Rockets,HOU,104,Los Angeles Lakers,LAL,105,0,Crypto.com Arena,0,0,0,0,0
2023-11-20,7:00p,Boston Celtics,BOS,118,Charlotte Hornets,CHO,121,1,Spectrum Center,1,0,0,0,0
2023-11-20,7:00p,Denver Nuggets,DEN,107,Detroit Pistons,DET,103,0,Little Caesars Arena,1,1,0,0,0
2023-11-20,7:00p,Milwaukee Bucks,MIL,142,Washington Wizards,WAS,129,0,Capital One Arena,0,0,0,0,0
2023-11-20,8:00p,Miami Heat,MIA,118,Chicago Bulls,CHI,100,0,United Center,0,0,0,0,0
2023-11-20,8:00p,New York Knicks,NYK,100,Minnesota Timberwolves,MIN,117,0,Target Center,0,0,0,0,0
2023-11-20,8:00p,Sacramento Kings,SAC,93,New Orleans Pelicans,NOP,129,0,Smoothie King Center,1,0,0,0,0
2023-11-20,8:00p,Los Angeles Clippers,LAC,124,San Antonio Spurs,SAS,99,0,Frost Bank Center,0,0,0,0,0
2023-11-20,10:00p,Houston Rockets,HOU,116,Golden State Warriors,GSW,121,0,Chase Center,1,0,0,0,0
2023-11-21,7:00p,Toronto Raptors,TOR,107,Orlando Magic,ORL,126,0,Kia Center,0,0,1,0,0
2023-11-21,7:30p,Indiana Pacers,IND,157,Atlanta Hawks,ATL,152,0,State Farm Arena,0,0,1,0,0
2023-11-21,7:30p,Cleveland Cavaliers,CLE,122,Philadelphia 76ers,PHI,119,1,Wells Fargo Center,0,0,1,0,0
2023-11-21,9:00p,Portland Trail Blazers,POR,107,Phoenix Suns,PHO,120,0,Footprint Center,0,0,1,0,0
2023-11-21,10:00p,Utah Jazz,UTA,99,Los Angeles Lakers,LAL,131,0,Crypto.com Arena,0,0,1,0,0
2023-11-22,7:00p,Washington Wizards,WAS,114,Charlotte Hornets,CHO,117,0,Spectrum Center,0,0,0,0,0
2023-11-22,7:00p,Denver Nuggets,DEN,119,Orlando Magic,ORL,124,0,Kia Center,0,1,0,0,0
2023-11-22,7:30p,Brooklyn Nets,BRK,145,Atlanta Hawks,ATL,147,1,State Farm Arena,0,1,0,0,0
2023-11-22,7:30p,Milwaukee Bucks,MIL,116,Boston Celtics,BOS,119,0,TD Garden,0,0,0,0,0
2023-11-22,7:30p,Miami Heat,MIA,129,Cleveland Cavaliers,CLE,96,0,Rocket Mortgage Fieldhouse,0,1,0,0,0
2023-11-22,7:30p,Toronto Raptors,TOR,132,Indiana Pacers,IND,131,0,Gainbridge Fieldhouse,1,1,0,0,0
2023-11-22,8:00p,Memphis Grizzlies,MEM,91,Houston Rockets,HOU,111,0,Toyota Center,0,0,0,0,0
2023-11-22,8:00p,Philadelphia 76ers,PHI,99,Minnesota Timberwolves,MIN,112,0,Target Center,1,0,0,0,0
2023-11-22,8:00p,Sacramento Kings,SAC,112,New Orleans Pelicans,NOP,117,0,Smoothie King Center,0,0,0,0,0
2023-11-22,8:00p,Chicago Bulls,CHI,102,Oklahoma City Thunder,OKC,116,0,Paycom Center,0,0,0,0,0
2023-11-22,8:00p,Los Angeles Clippers,LAC,109,San Antonio Spurs,SAS,102,0,Frost Bank Center,0,0,0,0,0
