Date,StartTime_ET,AwayTeam,AwayABV,AwayPTS,HomeTeam,HomeABV,HomePTS,is_OT,Arena,AwayB2B,HomeB2B,cup_gm,pstszn_gm,rtrvd
2023-10-24,7:30p,Los Angeles Lakers,LAL,107,Denver Nuggets,DEN,119,0,Ball Arena,0,0,0,0,0
2023-10-24,10:00p,Phoenix Suns,PHO,108,Golden State Warriors,GSW,104,0,Chase Center,0,0,0,0,0
2023-10-25,7:00p,Houston Rockets,HOU,86,Orlando Magic,ORL,116,0,Kia Center,0,0,0,0,0
2023-10-25,7:00p,Boston Celtics,BOS,108,New York Knicks,NYK,104,0,Madison Square Garden (IV),0,0,0,0,0
2023-10-25,7:00p,Washington Wizards,WAS,120,Indiana Pacers,IND,143,0,Gainbridge Fieldhouse,0,0,0,0,0
2023-10-25,7:00p,Atlanta Hawks,ATL,110,Charlotte Hornets,CHO,116,0,Spectrum Center,0,0,0,0,0
2023-10-25,7:30p,Detroit Pistons,DET,102,Miami Heat,MIA,103,0,Kaseya Center,0,0,0,0,0
2023-10-25,7:30p,Minnesota Timberwolves,MIN,94,Toronto Raptors,TOR,97,0,Scotiabank Arena,0,0,0,0,0
2023-10-25,7:30p,Cleveland Cavaliers,CLE,114,Brooklyn Nets,BRK,113,0,Barclays Center,0,0,0,0,0
2023-10-25,8:00p,New Orleans Pelicans,NOP,111,Memphis Grizzlies,MEM,104,0,FedEx Forum,0,0,0,0,0
2023-10-25,8:00p,Oklahoma City Thunder,OKC,124,Chicago Bulls,CHI,104,0,United Center,0,0,0,0,0
2023-10-25,9:00p,Sacramento Kings,SAC,130,Utah Jazz,UTA,114,0,Delta Center,0,0,0,0,0
2023-10-25,9:30p,Dallas Mavericks,DAL,126,San Antonio Spurs,SAS,119,0,Frost Bank Center,0,0,0,0,0
2023-10-25,10:30p,Portland Trail Blazers,POR,111,Los Angeles Clippers,LAC,123,0,Crypto.com Arena,0,0,0,0,0
2023-10-26,7:30p,Philadelphia 76ers,PHI,117,Milwaukee Bucks,MIL,118,0,Fiserv Forum,0,0,0,0,0
2023-10-26,10:00p,Phoenix Suns,PHO,95,Los Angeles Lakers,LAL,100,0,Crypto.com Arena,0,0,0,0,0
2023-10-27,7:00p,Denver Nuggets,DEN,108,Memphis Grizzlies,MEM,104,0,FedEx Forum,0,0,0,0,0
2023-10-27,7:00p,Detroit Pistons,DET,111,Charlotte Hornets,CHO,99,0,Spectrum Center,0,0,0,0,0
2023-10-27,7:30p,New York Knicks,NYK,126,Atlanta Hawks,ATL,120,0,State Farm Arena,0,0,0,0,0
2023-10-27,7:30p,Oklahoma City Thunder,OKC,108,Cleveland Cavaliers,CLE,105,0,Rocket Mortgage Fieldhouse,0,0,0,0,0
2023-10-27,7:30p,Miami Heat,MIA,111,Boston Celtics,BOS,119,0,TD Garden,0,0,0,0,0
2023-10-27,8:00p,Toronto Raptors,TOR,103,Chicago Bulls,CHI,104,1,United Center,0,0,0,0,0
2023-10-27,8:00p,Houston Rockets,HOU,122,San Antonio Spurs,SAS,126,1,Frost Bank Center,0,0,0,0,0
2023-10-27,8:30p,Brooklyn Nets,BRK,120,Dallas Mavericks,DAL,125,0,American Airlines Center,0,0,0,0,0
2023-10-27,9:30p,Los Angeles Clippers,LAC,118,Utah Jazz,UTA,120,0,Delta Center,0,0,0,0,0
2023-10-27,10:00p,Orlando Magic,ORL,102,Portland Trail Blazers,POR,97,0,Moda Center,0,0,0,0,0
2023-10-27,10:00p,Golden State Warriors,GSW,122,Sacramento Kings,SAC,114,0,Golden 1 Center,0,0,0,0,0
2023-10-28,7:00p,Chicago Bulls,CHI,102,Detroit Pistons,DET,118,0,Little Caesars Arena,1,1,0,0,0
2023-10-28,7:00p,Memphis Grizzlies,MEM,106,Washington Wizards,WAS,113,0,Capital One Arena,1,0,0,0,0
2023-10-28,7:00p,New York Knicks,NYK,87,New Orleans Pelicans,NOP,96,0,Smoothie King Center,1,0,0,0,0
2023-10-28,7:30p,Indiana Pacers,IND,125,Cleveland Cavaliers,CLE,113,0,Rocket Mortgage Fieldhouse,0,1,0,0,0
2023-10-28,7:30p,Philadelphia 76ers,PHI,114,Toronto Raptors,TOR,107,0,Scotiabank Arena,0,1,0,0,0
2023-10-28,8:00p,Miami Heat,MIA,90,Minnesota Timberwolves,MIN,106,0,Target Center,1,0,0,0,0
2023-10-28,10:00p,Utah Jazz,UTA,104,Phoenix Suns,PHO,126,0,Footprint Center,1,0,0,0,0
2023-10-29,3:30p,Denver Nuggets,DEN,128,Oklahoma City Thunder,OKC,95,0,Paycom Center,0,0,0,0,0
2023-10-29,7:00p,Golden State Warriors,GSW,106,Houston Rockets,HOU,95,0,Toyota Center,0,0,0,0,0
2023-10-29,7:00p,Atlanta Hawks,ATL,127,Milwaukee Bucks,MIL,110,0,Fiserv Forum,0,0,0,0,0
2023-10-29,7:30p,Portland Trail Blazers,POR,98,Philadelphia 76ers,PHI,126,0,Wells Fargo Center,0,1,0,0,0
2023-10-29,9:00p,San Antonio Spurs,SAS,83,Los Angeles Clippers,LAC,123,0,Crypto.com Arena,0,0,0,0,0
2023-10-29,9:00p,Los Angeles Lakers,LAL,127,Sacramento Kings,SAC,132,1,Golden 1 Center,0,0,0,0,0
2023-10-30,7:00p,Chicago Bulls,CHI,112,Indiana Pacers,IND,105,0,Gainbridge Fieldhouse,0,0,0,0,0
2023-10-30,7:00p,Boston Celtics,BOS,126,Washington Wizards,WAS,107,0,Capital One Arena,0,0,0,0,0
2023-10-30,7:00p,Brooklyn Nets,BRK,133,Charlotte Hornets,CHO,121,0,Spectrum Center,0,0,0,0,0
2023-10-30,7:30p,Portland Trail Blazers,POR,99,Toronto Raptors,TOR,91,0,Scotiabank Arena,1,0,0,0,0
2023-10-30,7:30p,Minnesota Timberwolves,MIN,113,Atlanta Hawks,ATL,127,0,State Farm Arena,0,1,0,0,0
2023-10-30,8:00p,Dallas Mavericks,DAL,125,Memphis Grizzlies,MEM,110,0,FedEx Forum,0,0,0,0,0
2023-10-30,8:00p,Miami Heat,MIA,114,Milwaukee Bucks,MIL,122,0,Fiserv Forum,0,1,0,0,0
2023-10-30,8:00p,Golden State Warriors,GSW,130,New Orleans Pelicans,NOP,102,0,Smoothie King Center,1,0,0,0,0
2023-10-30,8:00p,Detroit Pistons,DET,112,Oklahoma City Thunder,OKC,124,0,Paycom Center,0,1,0,0,0
2023-10-30,9:00p,Utah Jazz,UTA,102,Denver Nuggets,DEN,110,0,Ball Arena,0,1,0,0,0
2023-10-30,10:30p,Orlando Magic,ORL,103,Los Angeles Lakers,LAL,106,0,Crypto.com Arena,0,1,0,0,0
2023-10-31,7:30p,New York Knicks,NYK,109,Cleveland Cavaliers,CLE,91,0,Rocket Mortgage Fieldhouse,0,0,0,0,0
2023-10-31,10:00p,San Antonio Spurs,SAS,115,Phoenix Suns,PHO,114,0,Footprint Center,0,0,0,0,0
2023-10-31,10:30p,Orlando Magic,ORL,102,Los Angeles Clippers,LAC,118,0,Crypto.com Arena,1,0,0,0,0
2023-11-01,7:00p,Portland Trail Blazers,POR,110,Detroit Pistons,DET,101,0,Little Caesars Arena,0,0,0,0,0
2023-11-01,7:00p,Milwaukee Bucks,MIL,111,Toronto Raptors,TOR,130,0,Scotiabank Arena,0,0,0,0,0
2023-11-01,7:30p,Washington Wizards,WAS,121,Atlanta Hawks,ATL,130,0,State Farm Arena,0,0,0,0,0
2023-11-01,7:30p,Indiana Pacers,IND,104,Boston Celtics,BOS,155,0,TD Garden,0,0,0,0,0
2023-11-01,7:30p,Brooklyn Nets,BRK,109,Miami Heat,MIA,105,0,Kaseya Center,0,0,0,0,0
2023-11-01,7:30p,Cleveland Cavaliers,CLE,95,New York Knicks,NYK,89,0,Madison Square Garden (IV),1,1,0,0,0
2023-11-01,7:30p,New Orleans Pelicans,NOP,110,Oklahoma City Thunder,OKC,106,0,Paycom Center,0,0,0,0,0
2023-11-01,8:00p,Charlotte Hornets,CHO,119,Houston Rockets,HOU,128,0,Toyota Center,0,0,0,0,0
2023-11-01,8:00p,Denver Nuggets,DEN,89,Minnesota Timberwolves,MIN,110,0,Target Center,0,0,0,0,0
2023-11-01,8:30p,Chicago Bulls,CHI,105,Dallas Mavericks,DAL,114,0,American Airlines Center,0,0,0,0,0
2023-11-01,9:00p,Memphis Grizzlies,MEM,109,Utah Jazz,UTA,133,0,Delta Center,0,0,0,0,0
2023-11-01,10:00p,Sacramento Kings,SAC,101,Golden State Warriors,GSW,102,0,Chase Center,0,0,0,0,0
2023-11-01,10:00p,Los Angeles Clippers,LAC,125,Los Angeles Lakers,LAL,130,1,Crypto.com Arena,1,0,0,0,0
2023-11-02,7:00p,Toronto Raptors,TOR,99,Philadelphia 76ers,PHI,114,0,Wells Fargo Center,1,0,0,0,0
2023-11-02,8:00p,Detroit Pistons,DET,116,New Orleans Pelicans,NOP,125,0,Smoothie King Center,1,1,0,0,0
2023-11-02,9:00p,Orlando Magic,ORL,115,Utah Jazz,UTA,113,0,Delta Center,0,1,0,0,0
2023-11-02,10:00p,San Antonio Spurs,SAS,132,Phoenix Suns,PHO,121,0,Footprint Center,0,0,0,0,0
2023-11-03,7:00p,Cleveland Cavaliers,CLE,116,Indiana Pacers,IND,121,0,Gainbridge Fieldhouse,0,0,1,0,0
2023-11-03,7:30p,New York Knicks,NYK,105,Milwaukee Bucks,MIL,110,0,Fiserv Forum,0,0,1,0,0
2023-11-03,8:00p,Brooklyn Nets,BRK,109,Chicago Bulls,CHI,107,0,United Center,0,0,1,0,0
2023-11-03,8:00p,Washington Wizards,WAS,114,Miami Heat,MIA,121,0,Kaseya Center,0,0,1,0,0
2023-11-03,8:00p,Golden State Warriors,GSW,141,Oklahoma City Thunder,OKC,139,0,Paycom Center,0,0,1,0,0
2023-11-03,10:00p,Dallas Mavericks,DAL,114,Denver Nuggets,DEN,125,0,Ball Arena,0,0,1,0,0
2023-11-03,10:00p,Memphis Grizzlies,MEM,113,Portland Trail Blazers,POR,115,1,Moda Center,0,0,1,0,0
2023-11-04,1:00p,Phoenix Suns,PHO,100,Philadelphia 76ers,PHI,112,0,Wells Fargo Center,0,0,0,0,0
2023-11-04,7:00p,Charlotte Hornets,CHO,125,Indiana Pacers,IND,124,0,Gainbridge Fieldhouse,0,1,0,0,0
2023-11-04,7:00p,Atlanta Hawks,ATL,123,New Orleans Pelicans,NOP,105,0,Smoothie King Center,0,0,0,0,0
2023-11-04,7:00p,Los Angeles Lakers,LAL,101,Orlando Magic,ORL,120,0,Kia Center,0,0,0,0,0
2023-11-04,8:00p,Boston Celtics,BOS,124,Brooklyn Nets,BRK,114,0,Barclays Center,0,1,0,0,0
2023-11-04,8:00p,Sacramento Kings,SAC,89,Houston Rockets,HOU,107,0,Toyota Center,0,0,0,0,0
2023-11-04,8:00p,Utah Jazz,UTA,95,Minnesota Timberwolves,MIN,123,0,Target Center,0,0,0,0,0
2023-11-04,9:00p,Chicago Bulls,CHI,101,Denver Nuggets,DEN,123,0,Ball Arena,1,1,0,0,0
2023-11-05,3:00p,Phoenix Suns,PHO,120,Detroit Pistons,DET,106,0,Little Caesars Arena,1,0,0,0,0
2023-11-05,3:30p,Toronto Raptors,TOR,123,San Antonio Spurs,SAS,116,1,Frost Bank Center,0,0,0,0,0
2023-11-05,6:00p,Golden State Warriors,GSW,104,Cleveland Cavaliers,CLE,115,0,Rocket Mortgage Fieldhouse,0,0,0,0,0
2023-11-05,7:30p,Charlotte Hornets,CHO,118,Dallas Mavericks,DAL,124,0,American Airlines Center,1,0,0,0,0
2023-11-05,9:00p,Memphis Grizzlies,MEM,112,Portland Trail Blazers,POR,100,0,Moda Center,0,0,0,0,0
2023-11-06,7:00p,Golden State Warriors,GSW,120,Detroit Pistons,DET,109,0,Little Caesars Arena,1,1,0,0,0
2023-11-06,7:00p,San Antonio Spurs,SAS,111,Indiana Pacers,IND,152,0,Gainbridge Fieldhouse,1,0,0,0,0
2023-11-06,7:00p,Dallas Mavericks,DAL,117,Orlando Magic,ORL,102,0,Kia Center,1,0,0,0,0
2023-11-06,7:00p,Washington Wizards,WAS,128,Philadelphia 76ers,PHI,146,0,Wells Fargo Center,0,0,0,0,0
2023-11-06,7:30p,Milwaukee Bucks,MIL,129,Brooklyn Nets,BRK,125,0,Barclays Center,0,0,0,0,0
2023-11-06,7:30p,Los Angeles Lakers,LAL,107,Miami Heat,MIA,108,0,Kaseya Center,0,0,0,0,0
2023-11-06,7:30p,Los Angeles Clippers,LAC,97,New York Knicks,NYK,111,0,Madison Square Garden (IV),0,0,0,0,0
2023-11-06,8:00p,Utah Jazz,UTA,113,Chicago Bulls,CHI,130,0,United Center,0,0,0,0,0
2023-11-06,8:00p,Sacramento Kings,SAC,97,Houston Rockets,HOU,122,0,Toyota Center,0,0,0,0,0
2023-11-06,8:00p,Boston Celtics,BOS,109,Minnesota Timberwolves,MIN,114,1,Target Center,0,0,0,0,0
2023-11-06,8:00p,Atlanta Hawks,ATL,117,Oklahoma City Thunder,OKC,126,0,Paycom Center,0,0,0,0,0
2023-11-06,9:00p,New Orleans Pelicans,NOP,116,Denver Nuggets,DEN,134,0,Ball Arena,0,0,0,0,0
2023-11-08,7:00p,Washington Wizards,WAS,132,Charlotte Hornets,CHO,116,0,Spectrum Center,0,0,0,0,0
2023-11-08,7:00p,Utah Jazz,UTA,118,Indiana Pacers,IND,134,0,Gainbridge Fieldhouse,0,0,0,0,0
2023-11-08,7:00p,Boston Celtics,BOS,103,Philadelphia 76ers,PHI,106,0,Wells Fargo Center,0,0,0,0,0
2023-11-08,7:30p,Los Angeles Clippers,LAC,93,Brooklyn Nets,BRK,100,0,Barclays Center,0,0,0,0,0
2023-11-08,7:30p,San Antonio Spurs,SAS,105,New York Knicks,NYK,126,0,Madison Square Garden (IV),0,0,0,0,0
2023-11-08,8:00p,Phoenix Suns,PHO,116,Chicago Bulls,CHI,115,1,United Center,0,0,0,0,0
2023-11-08,8:00p,Los Angeles Lakers,LAL,94,Houston Rockets,HOU,128,0,Toyota Center,0,0,0,0,0
2023-11-08,8:00p,Miami Heat,MIA,108,Memphis Grizzlies,MEM,102,0,FedEx Forum,0,0,0,0,0
2023-11-08,8:00p,Detroit Pistons,DET,118,Milwaukee Bucks,MIL,120,0,Fiserv Forum,0,0,0,0,0
2023-11-08,8:00p,New Orleans Pelicans,NOP,101,Minnesota Timberwolves,MIN,122,0,Target Center,0,0,0,0,0
2023-11-08,8:00p,Cleveland Cavaliers,CLE,120,Oklahoma City Thunder,OKC,128,0,Paycom Center,0,0,0,0,0
2023-11-08,8:30p,Toronto Raptors,TOR,127,Dallas Mavericks,DAL,116,0,American Airlines Center,0,0,0,0,0
2023-11-08,10:00p,Golden State Warriors,GSW,105,Denver Nuggets,DEN,108,0,Ball Arena,0,0,0,0,0
2023-11-08,10:00p,Portland Trail Blazers,POR,118,Sacramento Kings,SAC,121,1,Golden 1 Center,0,0,0,0,0
2023-11-09,7:00p,Milwaukee Bucks,MIL,124,Indiana Pacers,IND,126,0,Gainbridge Fieldhouse,1,1,0,0,0
2023-11-09,9:30p,Atlanta Hawks,ATL,120,Orlando Magic,ORL,119,0,Mexico City Arena,0,0,0,0,0
2023-11-10,7:00p,Philadelphia 76ers,PHI,114,Detroit Pistons,DET,106,0,Little Caesars Arena,0,0,1,0,0
2023-11-10,7:00p,Charlotte Hornets,CHO,124,Washington Wizards,WAS,117,0,Capital One Arena,0,0,1,0,0
2023-11-10,7:30p,Brooklyn Nets,BRK,107,Boston Celtics,BOS,121,0,TD Garden,0,0,1,0,0
2023-11-10,8:00p,New Orleans Pelicans,NOP,101,Houston Rockets,HOU,104,0,Toyota Center,0,0,1,0,0
2023-11-10,8:00p,Utah Jazz,UTA,127,Memphis Grizzlies,MEM,121,0,FedEx Forum,0,0,1,0,0
2023-11-10,8:00p,Minnesota Timberwolves,MIN,117,San Antonio Spurs,SAS,110,0,Frost Bank Center,0,0,1,0,0
2023-11-10,8:30p,Los Angeles Clippers,LAC,126,Dallas Mavericks,DAL,144,0,American Airlines Center,0,0,1,0,0
2023-11-10,10:00p,Los Angeles Lakers,LAL,122,Phoenix Suns,PHO,119,0,Footprint Center,0,0,1,0,0
2023-11-10,10:00p,Oklahoma City Thunder,OKC,98,Sacramento Kings,SAC,105,0,Golden 1 Center,0,0,1,0,0
2023-11-11,6:00p,Milwaukee Bucks,MIL,97,Orlando Magic,ORL,112,0,Kia Center,0,0,0,0,0
2023-11-11,7:00p,Toronto Raptors,TOR,94,Boston Celtics,BOS,117,0,TD Garden,0,1,0,0,0
2023-11-11,7:30p,Miami Heat,MIA,117,Atlanta Hawks,ATL,109,0,State Farm Arena,0,0,0,0,0
2023-11-11,8:30p,Cleveland Cavaliers,CLE,118,Golden State Warriors,GSW,110,0,Chase Center,0,0,0,0,0
2023-11-12,12:00p,Charlotte Hornets,CHO,107,New York Knicks,NYK,129,0,Madison Square Garden (IV),0,0,0,0,0
2023-11-12,3:00p,Washington Wizards,WAS,94,Brooklyn Nets,BRK,102,0,Barclays Center,0,0,0,0,0
2023-11-12,3:30p,Memphis Grizzlies,MEM,105,Los Angeles Clippers,LAC,101,0,Crypto.com Arena,0,0,0,0,0
2023-11-12,6:00p,Indiana Pacers,IND,126,Philadelphia 76ers,PHI,137,0,Wells Fargo Center,0,0,0,0,0
2023-11-12,7:00p,Detroit Pistons,DET,108,Chicago Bulls,CHI,119,0,United Center,0,0,0,0,0
2023-11-12,7:00p,Denver Nuggets,DEN,104,Houston Rockets,HOU,107,0,Toyota Center,0,0,0,0,0
2023-11-12,7:00p,Dallas Mavericks,DAL,136,New Orleans Pelicans,NOP,124,0,Smoothie King Center,0,0,0,0,0
2023-11-12,7:00p,Miami Heat,MIA,118,San Antonio Spurs,SAS,113,0,Frost Bank Center,1,0,0,0,0
2023-11-12,8:00p,Oklahoma City Thunder,OKC,111,Phoenix Suns,PHO,99,0,Footprint Center,0,0,0,0,0
2023-11-12,8:30p,Minnesota Timberwolves,MIN,116,Golden State Warriors,GSW,110,0,Chase Center,0,1,0,0,0
2023-11-12,10:00p,Portland Trail Blazers,POR,110,Los Angeles Lakers,LAL,116,0,Crypto.com Arena,0,0,0,0,0
