Date,Team,Player,Pos
10/19/2021,BRK,James Harden,SG
10/19/2021,BRK,Joe Harris,SG
10/19/2021,BRK,Blake Griffin,PF
10/19/2021,BRK,Kevin Durant,PF
10/19/2021,BRK,Nicolas Claxton,C
10/19/2021,MIL,Jrue Holiday,PG
10/19/2021,MIL,Grayson Allen,SF
10/19/2021,MIL,Khris Middleton,SF
10/19/2021,MIL,Giannis Antetokounmpo,PF
10/19/2021,MIL,Brook Lopez,C
10/19/2021,GSW,Jordan Poole,PG
10/19/2021,GSW,Stephen Curry,PG
10/19/2021,GSW,Andrew Wiggins,SF
10/19/2021,GSW,Draymond Green,PF
10/19/2021,GSW,Kevon Looney,C
10/19/2021,LAL,Russell Westbrook,PG
10/19/2021,LAL,Kent Bazemore,SG
10/19/2021,LAL,LeBron James,SF
10/19/2021,LAL,Anthony Davis,C
10/19/2021,LAL,DeAndre Jordan,C
10/20/2021,CHI,Lonzo Ball,PG
10/20/2021,CHI,Zach LaVine,SG
10/20/2021,CHI,DeMar DeRozan,SF
10/20/2021,CHI,Patrick Williams,PF
10/20/2021,CHI,Nikola Vucevic,C
10/20/2021,DET,Frank Jackson,PG
10/20/2021,DET,Killian Hayes,PG
10/20/2021,DET,Isaiah Stewart,PF
10/20/2021,DET,Saddiq Bey,PF
10/20/2021,DET,Jerami Grant,PF
10/20/2021,IND,Malcolm Brogdon,SG
10/20/2021,IND,Justin Holiday,SF
10/20/2021,IND,Chris Duarte,SF
10/20/2021,IND,Myles Turner,C
10/20/2021,IND,Domantas Sabonis,C
10/20/2021,CHO,LaMelo Ball,PG
10/20/2021,CHO,James Bouknight,SG
10/20/2021,CHO,Miles Bridges,SF
10/20/2021,CHO,Gordon Hayward,SF
10/20/2021,CHO,Mason Plumlee,C
10/20/2021,WAS,Spencer Dinwiddie,PG
10/20/2021,WAS,Bradley Beal,SG
10/20/2021,WAS,Kentavious Caldwell-Pope,SG
10/20/2021,WAS,Kyle Kuzma,PF
10/20/2021,WAS,Daniel Gafford,C
10/20/2021,TOR,Fred VanVleet,PG
10/20/2021,TOR,Goran Dragic,PG
10/20/2021,TOR,OG Anunoby,SF
10/20/2021,TOR,Scottie Barnes,SF
10/20/2021,TOR,Precious Achiuwa,PF
10/20/2021,BOS,Marcus Smart,PG
10/20/2021,BOS,Jaylen Brown,SG
10/20/2021,BOS,Jayson Tatum,SF
10/20/2021,BOS,Grant Williams,PF
10/20/2021,BOS,Robert Williams III,C
10/20/2021,NYK,Kemba Walker,PG
10/20/2021,NYK,Evan Fournier,SG
10/20/2021,NYK,RJ Barrett,SG
10/20/2021,NYK,Julius Randle,PF
10/20/2021,NYK,Mitchell Robinson,C
10/20/2021,PHI,Tyrese Maxey,PG
10/20/2021,PHI,Danny Green,SG
10/20/2021,PHI,Seth Curry,SG
10/20/2021,PHI,Tobias Harris,SF
10/20/2021,PHI,Joel Embiid,C
10/20/2021,NOP,Devonte' Graham,PG
10/20/2021,NOP,Nickeil Alexander-Walker,SG
10/20/2021,NOP,Josh Hart,SF
