Date,Team,Player,Status,Reason
10/19/2021,BRK,Day'Ron Sharpe,Out,Injury/Illness - Right Second Toe; Sprain
10/19/2021,GSW,James Wiseman,Out,Injury/Illness - Right Knee; Meniscus Tear
10/19/2021,LAL,Kendrick Nunn,Questionable,Injury/Illness - Right Ankle; Sprain
10/19/2021,MIL,Bobby Portis,Out,Injury/Illness - Left Hamstring; Strain
10/19/2021,BRK,Kyrie Irving,Out,Not With Team
10/19/2021,GSW,Klay Thompson,Out,Injury/Illness - Right Achilles Tendon; Repair
10/19/2021,LAL,Malik Monk,Probable,Injury/Illness - Right Groin; Strain
10/19/2021,MIL,Semi Ojeleye,Out,Injury/Illness - Left Calf; Strain
10/19/2021,GSW,Jonathan Kuminga,Out,Injury/Illness - Right Knee; Patellar Tendon Strain
10/19/2021,LAL,Talen Horton-Tucker,Out,Injury/Illness - Right Thumb; Injury Recovery
10/19/2021,MIL,Rodney Hood,Out,Injury/Illness - Right Foot; Soreness
10/19/2021,GSW,Jeff Dowtin,Out,Not With Team
10/19/2021,LAL,Wayne Ellington,Out,Injury/Illness - Left Hamstring; Strain
10/19/2021,MIL,Donte DiVincenzo,Out,Injury/Illness - Left Ankle; Injury Recovery
10/19/2021,LAL,Trevor Ariza,Out,Injury/Illness - Right Ankle; Injury Recovery
10/20/2021,BOS,Josh Richardson,Out,Injury/Illness - Migraine; Migraine
10/20/2021,CHO,Terry Rozier,Out,Injury/Illness - Left Ankle; Sprain
10/20/2021,CHI,Coby White,Out,Injury/Illness - Left Shoulder; Injury Management
10/20/2021,CLE,Dylan Windler,Out,Injury/Illness - Right Hip; Strain
10/20/2021,DEN,Jamal Murray,Out,Injury/Illness - Left Knee; Injury Recovery
10/20/2021,DET,Chris Smith,Out,Injury/Illness - Left Knee; Injury recovery
10/20/2021,HOU,Garrison Mathews,Out,Not With Team
10/20/2021,IND,T.J. Warren,Out,Injury/Illness - Left Navicular; Fracture
10/20/2021,MEM,Dillon Brooks,Out,Injury/Illness - Left Hand; Fracture Recovery
10/20/2021,MIN,Patrick Beverley,Out,League Suspension
10/20/2021,NOP,Zion Williamson,Out,Injury/Illness - Right Foot; Fracture
10/20/2021,NYK,Luka Samanic,Out,G League - Two-Way
10/20/2021,ORL,Chuma Okeke,Out,Injury/Illness - Right Hip; Bone Bruise
10/20/2021,PHI,Ben Simmons,Out,Team Suspension
10/20/2021,PHO,Dario Saric,Out,Injury/Illness - Right Acl; Tear
10/20/2021,POR,Tony Snell,Out,Injury/Illness - Right Foot; Sprain
10/20/2021,SAS,Zach Collins,Out,Injury/Illness - Left Ankle; Stress Fracture
10/20/2021,TOR,Yuta Watanabe,Out,Injury/Illness - Left Calf; Strain
10/20/2021,UTA,Rudy Gay,Out,Injury/Illness - Right Heel; Injury recovery
10/20/2021,WAS,Cassius Winston,Out,Injury/Illness - Left Hamstring; Left Hamstring strain
10/20/2021,BOS,Al Horford,Out,Health and Safety Protocols
10/20/2021,CLE,Dean Wade,Out,Injury/Illness - Right Ankle; Sprain
10/20/2021,DEN,Vlatko Cancar,Probable,Injury/Illness - Left Hip; Strain
10/20/2021,DET,Isaiah Livers,Out,Injury/Illness - Right Foot; Injury recovery
10/20/2021,HOU,Danuel House Jr.,Out,Personal Reasons
10/20/2021,IND,Kelan Martin,Out,Injury/Illness - Left Hamstring; Strain
10/20/2021,NYK,Nerlens Noel,Out,Injury/Illness - Left Knee; sore
10/20/2021,ORL,E'Twaun Moore,Out,Injury/Illness - Left Knee; Sprain
10/20/2021,PHI,Grant Riller,Out,Injury/Illness - Left Knee; Injury recovery
10/20/2021,SAS,Devontae Cacok,Out,Not With Team
10/20/2021,TOR,Pascal Siakam,Out,Injury/Illness - Left Shoulder; Injury recovery
10/20/2021,UTA,Trent Forrest,Out,Injury/Illness - N/A; Concussion protocol
10/20/2021,WAS,Rui Hachimura,Out,Not With Team
10/20/2021,BOS,Jaylen Brown,Questionable,Return to Competition Reconditioning
10/20/2021,DET,Cade Cunningham,Out,Injury/Illness - Right Ankle; Sprain
10/20/2021,IND,Caris LeVert,Out,Injury/Illness - Back; Sore Lower
10/20/2021,NYK,Taj Gibson,Out,Personal Reasons
10/20/2021,ORL,Jonathan Isaac,Out,Injury/Illness - Left Knee; Injury Recovery
10/20/2021,PHI,Shake Milton,Out,Injury/Illness - Right Ankle; Sprain
10/20/2021,WAS,Thomas Bryant,Out,Injury/Illness - Left Knee; Injury recovery
10/20/2021,ORL,Markelle Fultz,Out,Injury/Illness - Left Knee; Injury Recovery
10/20/2021,ORL,Michael Carter-Williams,Out,Injury/Illness - Left Ankle; Injury Recovery
10/21/2021,ATL,Onyeka Okongwu,Out,Injury/Illness - Right Shoulder; Injury Recovery
10/21/2021,DAL,Eugene Omoruyi,Out,G League - Two-Way
10/21/2021,GSW,James Wiseman,Out,Injury/Illness - Right Knee; Injury Recovery
10/21/2021,MIA,Victor Oladipo,Out,Injury/Illness - Right Knee; Injury Recovery
10/21/2021,MIL,Bobby Portis,Out,Injury/Illness - Left Hamstring; Strain
10/21/2021,ATL,Danilo Gallinari,Out,Injury/Illness - Left Shoulder; Soreness
10/21/2021,DAL,JaQuori McLaughlin,Out,G League - Two-Way
10/21/2021,GSW,Klay Thompson,Out,Injury/Illness - Right Achilles Tendon; Injury Recovery
10/21/2021,MIL,Semi Ojeleye,Out,Injury/Illness - Left Calf; Strain
10/21/2021,GSW,Jonathan Kuminga,Out,Injury/Illness - Right Knee; Patellar Tendon Strain
10/21/2021,MIL,Brook Lopez,Out,Injury/Illness - Back; Soreness
10/21/2021,MIL,Rodney Hood,Out,Injury/Illness - Right Foot; Soreness
10/21/2021,MIL,Jrue Holiday,Out,Injury/Illness - Right Heel; Contusion
10/21/2021,MIL,Donte DiVincenzo,Out,Injury/Illness - Left Ankle; Injury recovery
10/22/2021,BRK,Kyrie Irving,Out,Not With Team
10/22/2021,CHI,Coby White,Out,Injury/Illness - Left Shoulder; Injury Management
10/22/2021,CLE,Dylan Windler,Out,Injury/Illness - Right Hip; Strain
10/22/2021,DEN,Jamal Murray,Out,Injury/Illness - Left Knee; Injury Recovery
10/22/2021,HOU,Garrison Mathews,Out,Not With Team
10/22/2021,IND,T.J. Warren,Out,Injury/Illness - Left Navicular; Fractured
10/22/2021,LAL,Kendrick Nunn,Out,Injury/Illness - Right Knee; Bone bruise
10/22/2021,NOP,Zion Williamson,Out,Injury/Illness - Right Foot; Fracture
10/22/2021,NYK,Luka Samanic,Out,G League - Two-Way
10/22/2021,ORL,Chuma Okeke,Out,Injury/Illness - Right Hip; Bone bruise
10/22/2021,PHI,Ben Simmons,Out,Personal Reasons
10/22/2021,PHO,Landry Shamet,Probable,Injury/Illness - Right Foot; Soreness
10/22/2021,SAC,Maurice Harkless,Questionable,Injury/Illness - Left Hip; Soreness
10/22/2021,SAS,Zach Collins,Out,Injury/Illness - Left Ankle; Stress Fracture
10/22/2021,TOR,Yuta Watanabe,Out,Injury/Illness - Left Calf; Strain
10/22/2021,UTA,Rudy Gay,Out,Injury/Illness - Right Heel; Injury Recovery
10/22/2021,WAS,Cassius Winston,Out,Injury/Illness - Left Hamstring; Left hamstring strain
10/22/2021,CLE,Darius Garland,Out,Injury/Illness - Left Ankle; Sprain
10/22/2021,DEN,Vlatko Cancar,Questionable,Injury/Illness - Left Hip; Strain
10/22/2021,IND,Kelan Martin,Out,Injury/Illness - Left Hamstring; Strain
10/22/2021,LAL,Talen Horton-Tucker,Out,Injury/Illness - Right Thumb; Injury recovery
