Date,Team,B2B,Player,Opp,Off_PTS,Off_L5_PTS,AVG_PTS_H2H,Def_PTS,Def_L5_PTS
10/22/2024,NYK,0,Jalen Brunson,BOS,22.0,22.0,25.857142857142858,16.5,16.5
10/22/2024,BOS,0,Jrue Holiday,NYK,18.0,18.0,14.25,10.5,10.5
10/22/2024,NYK,0,Cameron Payne,BOS,11.0,11.0,8.5,16.5,16.5
10/22/2024,LAL,0,D'Angelo Russell,MIN,9.0,9.0,11.8,9.0,9.0
10/22/2024,BOS,0,Payton Pritchard,NYK,3.0,3.0,5.0,10.5,10.5
10/22/2024,MIN,0,Mike Conley,LAL,5.0,5.0,11.571428571428571,5.0,5.0
10/22/2024,NYK,0,Tyler Kolek,BOS,3.0,3.0,,16.5,16.5
10/22/2024,LAL,0,Gabe Vincent,MIN,2.0,2.0,,9.0,9.0
10/22/2024,MIN,0,Rob Dillingham,LAL,0.0,0.0,,5.0,5.0
10/22/2024,BOS,0,Derrick White,NYK,24.0,24.0,13.0,24.0,24.0
10/22/2024,MIN,0,Anthony Edwards,LAL,27.0,27.0,27.5,17.0,17.0
10/22/2024,NYK,0,Miles McBride,BOS,22.0,22.0,5.0,17.0,17.0
10/22/2024,MIN,0,Nickeil Alexander-Walker,LAL,14.0,14.0,8.714285714285714,17.0,17.0
10/22/2024,NYK,0,Josh Hart,BOS,12.0,12.0,12.166666666666666,17.0,17.0
10/22/2024,LAL,0,Austin Reaves,MIN,12.0,12.0,14.333333333333334,12.0,12.0
10/22/2024,MIN,0,Donte DiVincenzo,LAL,10.0,10.0,13.0,17.0,17.0
10/22/2024,BOS,0,Jaden Springer,NYK,0.0,0.0,1.5,24.0,24.0
10/22/2024,LAL,0,Max Christie,MIN,2.0,2.0,1.0,12.0,12.0
10/22/2024,LAL,0,Jalen Hood-Schifino,MIN,0.0,0.0,0.0,12.0,12.0
10/22/2024,NYK,0,Pacome Dadiet,BOS,3.0,3.0,,17.0,17.0
10/22/2024,BOS,0,Baylor Scheierman,NYK,0.0,0.0,,24.0,24.0
10/22/2024,MIN,0,PJ Dozier,LAL,0.0,0.0,,17.0,17.0
10/22/2024,MIN,0,Terrence Shannon Jr.,LAL,0.0,0.0,,17.0,17.0
10/22/2024,LAL,0,Bronny James,MIN,0.0,0.0,,12.0,12.0
10/22/2024,BOS,0,Jaylen Brown,NYK,23.0,23.0,21.142857142857142,23.0,23.0
10/22/2024,LAL,0,LeBron James,MIN,16.0,16.0,24.75,16.0,16.0
10/22/2024,NYK,0,Mikal Bridges,BOS,16.0,16.0,16.8,16.0,16.0
10/22/2024,LAL,0,Maxwell Lewis,MIN,0.0,0.0,0.0,16.0,16.0
10/22/2024,LAL,0,Cam Reddish,MIN,0.0,0.0,5.0,16.0,16.0
10/22/2024,LAL,0,Dalton Knecht,MIN,5.0,5.0,,16.0,16.0
10/22/2024,NYK,0,Jacob Toppin,BOS,0.0,0.0,,16.0,16.0
10/22/2024,BOS,0,Jayson Tatum,NYK,37.0,37.0,27.714285714285715,23.5,23.5
10/22/2024,LAL,0,Rui Hachimura,MIN,18.0,18.0,17.2,18.0,18.0
10/22/2024,BOS,0,Sam Hauser,NYK,10.0,10.0,8.714285714285714,23.5,23.5
10/22/2024,MIN,0,Jaden McDaniels,LAL,6.0,6.0,8.833333333333334,16.0,16.0
10/22/2024,NYK,0,OG Anunoby,BOS,4.0,4.0,7.2,4.0,4.0
10/22/2024,MIN,0,Julius Randle,LAL,16.0,16.0,,16.0,16.0
10/22/2024,BOS,0,Jordan Walsh,NYK,0.0,0.0,,23.5,23.5
10/22/2024,LAL,0,Anthony Davis,MIN,36.0,36.0,21.83333333333333,36.0,36.0
10/22/2024,MIN,0,Rudy Gobert,LAL,13.0,13.0,13.5,12.5,12.5
10/22/2024,MIN,0,Naz Reid,LAL,12.0,12.0,16.333333333333332,12.5,12.5
10/22/2024,LAL,0,Jaxson Hayes,MIN,10.0,10.0,8.2,36.0,36.0
10/22/2024,BOS,0,Al Horford,NYK,11.0,11.0,8.5,7.5,7.5
10/22/2024,NYK,0,Jericho Sims,BOS,4.0,4.0,0.8571428571428571,8.0,8.0
10/22/2024,BOS,0,Luke Kornet,NYK,4.0,4.0,1.7142857142857142,7.5,7.5
10/22/2024,MIN,0,Luka Garza,LAL,0.0,0.0,2.25,12.5,12.5
10/22/2024,BOS,0,Xavier Tillman Sr.,NYK,2.0,2.0,3.333333333333333,7.5,7.5
10/22/2024,NYK,0,Karl-Anthony Towns,BOS,12.0,12.0,,8.0,8.0
10/22/2024,NYK,0,Ariel Hukporti,BOS,0.0,0.0,,8.0,8.0
